N; BlockSize; GridSize; time_sec
33554432; 64; 416; 0.325557
33554432; 64; 416; 0.297507
33554432; 64; 416; 0.278520
33554432; 64; 416; 0.270058
33554432; 64; 416; 0.263388
33554432; 64; 416; 0.266895
33554432; 64; 416; 0.269312
33554432; 64; 416; 0.261428
33554432; 64; 416; 0.262774
33554432; 64; 416; 0.262925
33554432; 64; 416; 0.261514
33554432; 64; 416; 0.257798
33554432; 64; 416; 0.257694
33554432; 64; 416; 0.255873
33554432; 64; 416; 0.253835
33554432; 64; 416; 0.254833
33554432; 64; 416; 0.253972
33554432; 64; 416; 0.252759
33554432; 64; 416; 0.255455
33554432; 64; 416; 0.261203
