N; BlockSize; GridSize; time_sec
33554432; 128; 208; 0.222438
33554432; 128; 208; 0.232301
33554432; 128; 208; 0.222815
33554432; 128; 208; 0.222178
33554432; 128; 208; 0.222966
33554432; 128; 208; 0.223144
33554432; 128; 208; 0.223489
33554432; 128; 208; 0.221812
33554432; 128; 208; 0.231157
33554432; 128; 208; 0.249482
33554432; 128; 208; 0.228979
33554432; 128; 208; 0.228199
33554432; 128; 208; 0.230882
33554432; 128; 208; 0.223421
33554432; 128; 208; 0.222359
33554432; 128; 208; 0.222576
33554432; 128; 208; 0.224173
33554432; 128; 208; 0.224220
33554432; 128; 208; 0.224235
33554432; 128; 208; 0.224899
