N; BlockSize; GridSize; time_sec
33554432; 4; 6656; 1.992735
33554432; 4; 6656; 1.988718
33554432; 4; 6656; 1.991951
33554432; 4; 6656; 1.989740
33554432; 4; 6656; 1.989697
33554432; 4; 6656; 1.990055
33554432; 4; 6656; 1.989960
33554432; 4; 6656; 1.991415
33554432; 4; 6656; 1.989551
33554432; 4; 6656; 1.990794
33554432; 4; 6656; 1.990615
33554432; 4; 6656; 1.990612
33554432; 4; 6656; 1.989859
33554432; 4; 6656; 1.988240
33554432; 4; 6656; 1.989890
33554432; 4; 6656; 1.989283
33554432; 4; 6656; 1.992873
33554432; 4; 6656; 1.989778
33554432; 4; 6656; 1.989663
33554432; 4; 6656; 1.991677
